Description,OnSalePrice,PurchasePrice,DateTimeReport
EUR-LOW,5050.000000,4600.000000,2022-11-16T19:36:51-0500
CHF,4500.000000,4200.000000,2022-11-16T19:36:51-0500
EUR,5100.000000,4950.000000,2022-11-16T19:36:51-0500
CLP,4.500000,3.000000,2022-11-16T19:36:51-0500
PEN,1250.000000,1100.000000,2022-11-16T19:36:51-0500
CAD,3600.000000,3400.000000,2022-11-16T19:36:51-0500
ARS,30.000000,10.000000,2022-11-16T19:36:51-0500
USD,4850.000000,4650.000000,2022-11-16T19:36:51-0500
CNY,550.000000,400.000000,2022-11-16T19:36:51-0500
GBP,5450.000000,5200.000000,2022-11-16T19:36:51-0500
JPY,30.000000,25.000000,2022-11-16T19:36:51-0500
MXN,260.000000,240.000000,2022-11-16T19:36:51-0500
AUD,3000.000000,2800.000000,2022-11-16T19:36:51-0500
