Description,OnSalePrice,PurchasePrice,DateTimeReport
(USD) Dólar,4830.000000,4670.000000,2022-11-16T19:36:46-0500
(CAD) Dólar Canadiense,3650.000000,3500.000000,2022-11-16T19:36:46-0500
(AUD) Dólar Australiano,3350.000000,3220.000000,2022-11-16T19:36:46-0500
(GBP) Libra Esterlina,5650.000000,5450.000000,2022-11-16T19:36:46-0500
(EUR) Euro,5100.000000,4960.000000,2022-11-16T19:36:46-0500
(EUR) Euro (billetes 500),5000.000000,4700.000000,2022-11-16T19:36:46-0500
(CHF) Franco Suizo,4800.000000,4600.000000,2022-11-16T19:36:46-0500
(BRL) Real Brasileño,1030.000000,940.000000,2022-11-16T19:36:46-0500
(ARS) Peso Argentino,40.000000,10.000000,2022-11-16T19:36:46-0500
(CHI) Peso Chileno,52.000000,46.000000,2022-11-16T19:36:46-0500
(MEX) Peso Mexicano,275.000000,240.000000,2022-11-16T19:36:46-0500
(PEN) Nuevo Sol,1310.000000,1230.000000,2022-11-16T19:36:46-0500
